id, house,scc_cat,scc
1,Tie-stall,2,166000
3,Free-stall,2,203000
4,Free-stall,4,358000
5,Tie-stall,3,262000
6,Free-stall,2,120000
7,Tie-stall,4,414000
8,Bedded-pack,3,264000
9,Tie-stall,2,262000
10,Free-stall,5,502000
11,Tie-stall,2,120000
13,Bedded-pack,3,239000
15,Free-stall,1,33000
17,Bedded-pack,2,145000
18,Tie-stall,3,224000
19,Tie-stall,5,781000
20,Tie-stall,5,513000
21,Tie-stall,5,489000
22,Bedded-pack,3,237000
23,Tie-stall,2,203000
24,Tie-stall,3,316000
25,Tie-stall,4,420000
26,Free-stall,2,162000
27,Tie-stall,2,201000
28,Tie-stall,2,167000
29,Bedded-pack,2,219000
30,Tie-stall,2,129000
31,Tie-stall,3,281000
32,Tie-stall,2,190000
33,Tie-stall,2,130000
34,Tie-stall,3,281000
